#Content-ID(1-start), Product-ID(String with iTunesConnect), Purchase-type(0=FREE 1=Consumable(shoumou-gata) 2=Non-Consumable(hi-shoumou-gata))
1,mcs001,0
2,mcs002,2
3,mcs003,2
4,mcs004,2
5,mcs005,2
6,mcs006,2
7,mcs007,2
8,mcs008,2
9,mcs009,2
10,mcs010,2
11,mcs011,2
12,mcs012,2
13,mcs013,2
14,mcs014,2
15,mcs015,2
16,mcs016,2
17,mcs017,2
18,mcs018,2
19,mcs019,2
20,mcs020,2
21,mcs021,2
22,mcs022,2
23,mcs023,2
24,mcs024,2
25,mcs025,2
26,mcs026,2
27,mcs027,2
28,mcs028,2
29,mcs029,2
30,mcs030,2
31,mcs031,2
32,mcs032,2
33,mcs033,2
34,mcs034,2
35,mcs035,2
36,mcs036,2
37,mcs037,2
38,mcs038,2
39,mcs039,2
40,mcs040,2
41,mcs041,2
42,mcs042,2
43,mcs043,2
44,mcs044,2
45,mcs045,2
46,mcs046,2
47,mcs047,2
48,mcs048,2
49,mcs049,2
